artist_name,channel_ID,channel_title,published,views,subs,videos,channel_age_years,views_per_video,subs_per_video,views_per_sub
TR/ST,UCBpdndHN93ZCOutaoY9TT3A,TR/ST OFFICIAL,2011-11-08 15:14:59+00:00,18387330.0,39600.0,16.0,13.826146475017111,1149208.125,2475.0,464.32651515151514
Aryia,UCms3CTdmCO8AmCoBYjK995A,Aryia,2014-04-23 23:40:52+00:00,15066792.0,230000.0,148.0,11.370294318959617,101802.64864864865,1554.054054054054,65.50779130434782
Swimming With Bears,UC4PprNtyMUp_eg6RL4oqK_A,SwimmingWithBears,2011-05-10 08:18:58+00:00,765998.0,3370.0,29.0,14.324435318275153,26413.724137931036,116.20689655172414,227.29910979228487
Sugar Candy Mountain,UCd9o58dfDCbi42aUZcgndkQ,sugarcandymtnband,2013-07-02 20:12:58+00:00,3297071.0,6950.0,11.0,12.177960301163587,299733.7272727273,631.8181818181819,474.3987050359712
King Diamond,UCnBgqj6xNHetCIBXJr7lIKw,King Diamond,2012-05-11 20:56:19+00:00,23047782.0,74400.0,26.0,13.319644079397673,886453.1538461539,2861.5384615384614,309.7820161290323
Spoons,UCSRWHYMHxoPtE39iznoMxcg,Spoons - Topic,2013-10-05 15:05:59+00:00,997219.0,1130.0,271.0,11.917864476386036,3679.7749077490776,4.169741697416974,882.4946902654867
Augustana,UC71iXnnMCaCdDplRSLhpVBQ,Augustana - Topic,2013-07-04 11:08:29+00:00,4971292.0,4380.0,217.0,12.172484599589323,22909.179723502304,20.18433179723502,1134.9981735159818
"""OC Fair"", The Psychedelic Furs, X",UCqfskAIHCgIkv_bX8hvw0Dg,DPDutcher,2011-10-15 14:47:05+00:00,248811.0,431.0,167.0,13.891854893908283,1489.88622754491,2.5808383233532934,577.2877030162413
"Alonzo King's - ""Lines Ballet""",UCOjDf_KYnJA8MclP9VHIaPw,Alonzo King LINES Ballet,2008-04-15 16:36:48+00:00,686799.0,5220.0,124.0,17.39082819986311,5538.701612903225,42.096774193548384,131.5706896551724
"""Wine Country Blues Festival""",UC0M8oUfLTjHwDeB9DOus26w,Appaloosa Festival,2015-06-15 14:07:03+00:00,31198.0,146.0,51.0,10.225872689938399,611.7254901960785,2.8627450980392157,213.68493150684932
Bright Eyes,UCTuFY_OJRPTiBAGr5jiLNEg,Bright Eyes,2011-01-28 20:46:35+00:00,29124068.0,56800.0,128.0,14.603696098562628,227531.78125,443.75,512.747676056338
"Hunter Hayes, Gretchen Wilson",UCq5Y1CSywBb4zh0FUKUGRnA,Two Story Road,2012-12-06 05:54:48+00:00,1071931.0,951.0,72.0,12.747433264887064,14887.930555555555,13.208333333333334,1127.161934805468
"Will Eastman, Brian Billion",UCX85jmlZb4-QbEsV94czjHA,Kyle Wilson,2012-07-27 18:27:54+00:00,30580.0,530.0,67.0,13.1088295687885,456.4179104477612,7.91044776119403,57.698113207547166
"""I Bet You Look Good""",UCo-aX5FpGgoj5STc3PWf4CQ,Alex Turner,2018-02-05 05:27:54+00:00,5990989.0,4840.0,31.0,7.581108829568788,193257.70967741936,156.1290322580645,1237.807644628099
The Walters,UCm54E8Hlf_z1GIpVUChBTQA,The Walters,2014-10-01 16:45:02+00:00,495051504.0,506000.0,76.0,10.929500342231348,6513835.578947368,6657.894736842105,978.3626561264822
Biscits,UCv83I631mcPindadU4W3VxA,Biscits,2018-01-23 10:00:05+00:00,23754921.0,15600.0,261.0,7.616700889801506,91015.02298850575,59.770114942528735,1522.751346153846
Tenille Townes,UCjRREKC5zlEWBrvYK8Haq9w,Tenille Townes,2010-10-28 04:23:39+00:00,26354120.0,56300.0,489.0,14.855578370978781,53893.90593047035,115.13292433537832,468.10159857904085
"""Lollapalooza Aftershows"", WALK THE MOON",UCIrFH1dlPrKavdd5uDOACGA,Im4everclever,2011-09-18 07:01:18+00:00,82944.0,80.0,25.0,13.96577686516085,3317.76,3.2,1036.8
Marie-Claire Giraud,UCHaEKMBVIh4mZJ0SCKf-qpQ,Marie-Claire Giraud,2011-09-04 23:11:39+00:00,5509.0,123.0,29.0,14.004106776180699,189.9655172413793,4.241379310344827,44.78861788617886
